"host","date_stamp","type","cpu","device","r_s","w_s","rsec_s","wsec_s","avgqu-sz","await","svctm","util_pct"
"dm02cel01","12.02.29.1101.50","D","1.52","sda","2.77","26.40","1.6","0.6","0.09","26.97","1.81","5.28" 
"dm02cel01","12.02.29.1101.50","D","1.52","sdb","2.64","26.17","1.6","0.6","0.46","40.16","1.47","4.23" 
"dm02cel01","12.02.29.1101.50","D","1.52","sdc","2.11","19.01","1.6","0.4","0.29","13.73","1.68","3.56" 
"dm02cel01","12.02.29.1101.50","D","1.52","sdd","2.13","18.16","1.6","0.4","0.48","23.85","1.24","2.52" 
"dm02cel01","12.02.29.1101.50","D","1.52","sde","2.15","18.12","1.6","0.4","0.61","30.07","1.27","2.57" 
"dm02cel01","12.02.29.1101.50","D","1.52","sdf","2.17","18.83","1.6","0.5","0.17","41.58","1.81","3.80" 
"dm02cel01","12.02.29.1101.50","D","1.52","sdg","2.16","18.35","1.6","0.4","0.52","25.47","1.30","2.68" 
"dm02cel01","12.02.29.1101.50","D","1.52","sdh","2.15","18.29","1.6","0.5","0.52","25.33","1.29","2.64" 
"dm02cel01","12.02.29.1101.50","D","1.52","sdi","2.14","18.28","1.6","0.4","0.60","29.30","1.37","2.79" 
"dm02cel01","12.02.29.1101.50","D","1.52","sdj","2.13","18.39","1.6","0.4","0.62","30.38","1.37","2.80" 
"dm02cel01","12.02.29.1101.50","D","1.52","sdk","2.14","18.93","1.6","0.5","0.11","38.47","1.74","3.67" 
"dm02cel01","12.02.29.1101.50","D","1.52","sdl","2.14","18.99","1.6","0.5","0.18","41.50","1.44","3.04" 
"dm02cel01","12.02.29.1101.50","D","1.52","sdm","0.25","0.00","0.0","0.0","0.00","1.41","1.35","0.03" 
"dm02cel01","12.02.29.1101.50","F","1.52","sdn","19.69","7.28","0.5","0.1","0.02","0.66","0.28","0.75" 
"dm02cel01","12.02.29.1101.50","F","1.52","sdo","19.67","7.29","0.5","0.1","0.02","0.67","0.28","0.75" 
"dm02cel01","12.02.29.1101.50","F","1.52","sdp","19.70","7.29","0.5","0.1","0.02","0.67","0.28","0.76" 
"dm02cel01","12.02.29.1101.50","F","1.52","sdq","19.68","7.29","0.5","0.1","0.02","0.66","0.28","0.75" 
"dm02cel01","12.02.29.1101.50","F","1.52","sdr","19.38","6.45","0.5","0.1","0.02","0.67","0.28","0.72" 
"dm02cel01","12.02.29.1101.50","F","1.52","sds","19.32","6.40","0.5","0.1","0.02","0.68","0.28","0.72" 
"dm02cel01","12.02.29.1101.50","F","1.52","sdt","19.69","7.30","0.5","0.1","0.02","0.67","0.28","0.76" 
"dm02cel01","12.02.29.1101.50","F","1.52","sdu","19.71","7.31","0.5","0.1","0.02","0.67","0.28","0.76" 
"dm02cel01","12.02.29.1101.50","F","1.52","sdv","19.71","7.29","0.5","0.1","0.02","0.67","0.28","0.76" 
"dm02cel01","12.02.29.1101.50","F","1.52","sdw","19.71","7.29","0.5","0.1","0.02","0.67","0.28","0.76" 
"dm02cel01","12.02.29.1101.50","F","1.52","sdx","19.71","7.32","0.5","0.1","0.02","0.66","0.28","0.76" 
"dm02cel01","12.02.29.1101.50","F","1.52","sdy","20.64","7.28","0.5","0.1","0.02","0.66","0.28","0.79" 
"dm02cel01","12.02.29.1101.50","F","1.52","sdz","19.70","7.31","0.5","0.1","0.02","0.67","0.28","0.76" 
"dm02cel01","12.02.29.1101.50","F","1.52","sdaa","19.70","7.31","0.5","0.1","0.02","0.68","0.28","0.76" 
"dm02cel01","12.02.29.1101.50","F","1.52","sdab","19.70","7.30","0.5","0.1","0.02","0.66","0.28","0.76" 
"dm02cel01","12.02.29.1101.50","F","1.52","sdac","21.14","7.31","0.5","0.1","0.02","0.66","0.29","0.82" 
"dm02cel01","12.02.29.1101.55","D","0.0799999999999983","sda","0.00","8.98","0.0","0.1","0.01","0.91","0.04","0.04" 
